Provider Name,Zip Code,Service Area,Service Area (SA),Provider Classification,Programs/Services,Age Group Served,Language/Cultures,Operation,Phone Number,Location 1
PACIFIC CLINICS-ARROYO FSP,91105,3,SA 3 San Gabriel Valley,OUTPATIENT,"CASE MANAGEMENT, COMMUNITY OUTREACH, CRISIS INTERVENTION, FSP, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, MENTAL HEALTH PROMOTION, PSYCHOLOGICAL TESTING",ADULT,"CANTONESE, ENGLISH, FRENCH, GERMAN, KOREAN, MANDARIN, SAMOAN, SPANISH, TAGALOG, TAIWANESE",NGA,(626) 403-2794,"1020 SOUTH ARROYO PKWY. STE. 100
PASADENA, California 91105
(34.12838137400007, -118.14716619099994)"
HOMES FOR LIFE FOUNDATION,91776,3,SA 3 San Gabriel Valley,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MENTAL HEALTH SERVICES",CHILD/TAY,"ENGLISH, SPANISH",NGA,(626) 309-0552,"506 EAST FAIRVIEW AVE. UNIT A
SAN GABRIEL, California 91776
(34.08983293800003, -118.09426954199995)"
BIENVENIDOS-MENTAL HEALTH (MH),91763,3,SA 3 San Gabriel Valley,OUTPATIENT,"CASE MANAGEMENT, DYADIC THERAPY, FAMILY COUNSELING, GROUP COUNSELING, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, SPECIALIZED FOSTER CARE",CHILD/TAY,"ARMENIAN, CALO, ENGLISH, JAPANESE, KOREAN, MANDARIN, SPANISH, VIETNAMESE",NGA,(909) 447-7520,"9828 CENTRAL AVE.
MONTCLAIR, California 91763
(34.07533272100005, -117.68966018399999)"
GATEWAYS COMMUNITY MHC MDO,90004,4,SA 4 Metro,RESIDENTIAL,"DAY TREATMENT, LIFE SUPPORT, VOCATIONAL SERVICES",ADULT,"CEBUANO, ENGLISH, GERMAN, KOREAN, POLISH, SPANISH, TELUGU",NGA,(323) 644-2040,"433 NORTH HOOVER ST.
LOS ANGELES, California 90004
(34.07870996100007, -118.28444213299997)"
MISSION COMMUNITY HOSPITAL,91402,2,SA 2 San Fernando Valley,INPATIENT,24 HR ACUTE,ADULT,ENGLISH,FFS,(818) 904-3594,"14850 ROSCOE BLVD.
PANORAMA CITY, California 91402
(34.22145348000004, -118.45651928999996)"
SSG - PROJECT 180,90013,4,SA 4 Metro,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, FULL SERVICE PARTNERSHIP, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",CHILD/TAY,"CANTONESE, ENGLISH, SPANISH, VIETNAMESE",NGA,(213) 620-5712,"420 SOUTH SAN PEDRO ST. #G4
LOS ANGELES, California 90013
(34.045206215000064, -118.24330106299999)"
CHILDREN'S  HOSPITAL LOS ANGELES,90027,4,SA 4 Metro,INPATIENT,"CASE MANAGEMENT, FULL SERVICE PARTNERSHIP, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE",CHILD/TAY,"AFRIKAANS, CANTONESE, CZECH, ENGLISH, FARSI, FRENCH, GREEK, HEBREW, HINDI, ITALIAN, KOREAN, MANDARIN, PORTUGUESE,  SPANISH, SWATOWESE,  SWEDISH,  TAIWANESE",NGA,(323) 361-2350,"5000 SUNSET BLVD. 7TH FL.
LOS ANGELES, California 90027
(34.098113316000024, -118.29845708799996)"
CHILDREN'S BUREAU OF SOUTHERN CALIFORNIA,90004,4,SA 4 Metro,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE, THERAPEUTIC BEHAVIORAL SERVICES",CHILD/TAY,"ENGLISH, ITALIAN, KOREAN, SAMOAN, SPANISH",NGA,(213) 342-0100,"3910 OAKWOOD AVE.
LOS ANGELES, California 90004
(34.07770286700003, -118.29236867899999)"
HOLLYWOOD MHC FSP PROGRAM,90038,4,SA 4 Metro,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",ADULT,"ARMENIAN, BULGARIAN, ENGLISH, FRENCH, HEBREW, HINDI, KOREAN, RUSSIAN, SPANISH",DMH,(323) 769-6100,"947 COLE AVE.
LOS ANGELES, California 90038
(34.088351103000036, -118.32991232599994)"
OFFICE OF THE PUBLIC GUARDIAN,90012,4,SA 4 Metro,FORENSIC,"MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",CHILD/TAY,"ARMENIAN, ENGLISH, HINDI, PORTUGUESE, SPANISH",DMH,(213) 974-0502,"320 WEST TEMPLE ST. 15TH FL.
LOS ANGELES, California 90012
(34.05609758300005, -118.24404774199996)"
HILLSIDES COMMUNITY CENTER,90026,4,SA 4 Metro,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, FULL SERVICE PARTNERSHIP, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE, THERAPEUTIC BEHAVIORAL SERVICES",CHILD/TAY,"ENGLISH, JAPANESE, KOREAN, SPANISH",NGA,(213) 201-5380,"1282 WEST 2ND ST.
LOS ANGELES, California 90026
(34.06068942600007, -118.25847085299995)"
ST. JOSEPH'S CENTER-VENICE/LINCOLN,90291,5,SA 5 West,OUTPATIENT,"CASE MANAGEMENT, COMMUNITY OUTREACH, CRISIS INTERVENTION, MENTAL HEALTH SERVICES",ADULT,"ENGLISH, SPANISH",NGA,(310) 399-6878,"404 LINCOLN BLVD.
VENICE, California 90291
(34.000717175000034, -118.46647136299998)"
MEADOWBROOK MANOR,90066,5,SA 5 West,OUTPATIENT,MENTAL HEALTH SERVICES,ADULT,ENGLISH,NGA,(310) 391-8266,"3951 EAST BLVD.
LOS ANGELES, California 90066
(34.004999646000044, -118.42364008099997)"
STEP UP ON SECOND STREET-DANIEL'S PLACE,90404,5,SA 5 West,OUTPATIENT,"CLIENT RUN CENTER FOR TAY, CRISIS INTERVENTION, FAMILY SUPPORT GROUPS AND ADVOCACY, MEDICATION SUPPORT, MENTAL HEALTH SERVICES GROUPS AND SOCIAL ACTIVITIES, TAY DROP IN CENTER",TAY,"ENGLISH, SPANISH",NGA,(310) 392-5855,"1619 SANTA MONICA BLVD.
SANTA MONICA, California 90404
(34.02604376900007, -118.48332712599995)"
SPECIALIZED FOSTER CARE-SA5 SFC CO-LOCATED DCFS,90036,5,SA 5 West,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MENTAL HEALTH SERVICES",CHILD/TAY,"ENGLISH, SPANISH",DMH,(323) 900-2222,"5757 WILSHIRE BLVD. STE. 200
LOS ANGELES, California 90036
(34.062445712000056, -118.35357943799994)"
ST. JOHN'S CHILD & FAMILY DEVELOPMENT CENTER,90404,5,SA 5 West,OUTPATIENT,"CASE MANAGEMENT, COMMUNITY OUTREACH, MEDICATION SUPPORT, MENTAL HEALTH PROMOTION, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING FOR DEAF AND HARD OF HEARING, SPECIALIZED FOSTER CARE",ADULT/CHILD/TAY,"AMERICAN SIGN , ENGLISH, FRENCH",NGA,(310) 829-8921,"1339 20TH ST.
SANTA MONICA, California 90404
(34.02948853100003, -118.48091665299995)"
ENKI LPV MENTAL HEALTH CENTER-LA PUENTE,91744,3,SA 3 San Gabriel Valley,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, FCCS, FSP, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, WELLNESS CENTER, 0-5 YRS INTENSIVE IN HOME SERVICES",ADULT/CHILD/TAY,"CANTONESE, ENGLISH, FARSI, HEBREW, ITALIAN, KOREAN, MANDARIN, RUSSIAN, SINGHALESE, SPANISH, TAGALOG",NGA,(626) 961-8971,"160 SOUTH SEVENTH AVE.
LA PUENTE, California 91744
(34.03381753900004, -117.97573152199999)"
JWCH INSTITUTE INC.,90013,4,SA 4 Metro,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",ADULT/CHILD/TAY,"ENGLISH, SPANISH",NGA,(213) 622-1048,"114 EAST 5TH ST.
LOS ANGELES, California 90013
(34.04641689400006, -118.24814341899997)"
HERITAGE CLINIC MID-CITY,90026,4,SA 4 Metro,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MEDICATIOM MANAGEMENT, MENTAL HEALTH SERVICES",OLDER ADULT,"CANTONESE, ENGLISH, MANDARIN, SPANISH",NGA,(213) 382-4400,"155 N. OCCIDENTAL BLVD. STE. 243
LOS ANGELES, California 90026
(34.072026727000036, -118.27864615499999)"
PACIFIC CLINICS-KYCC,90005,4,SA 4 Metro,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",CHILD/TAY,"CANTONESE, ENGLISH, FRENCH, KOREAN, SPANISH",NGA,(213) 365-7400,"680 SOUTH WILTON PLC.
LOS ANGELES, California 90005
(34.060152463000065, -118.31431619099999)"
PC PORTALS WILSHIRE,90057,4,SA 4 Metro,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, FSP ADULT AND OLDER ADULT, FSP COMMUNITY LIVING, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, SPECIALIZED FOSTER CARE",ADULT,"ARMENIAN, CANTONESE, CZECH, ENGLISH, GREEK, HEBREW,  IGOROT, KOREAN, MANDARIN, POLISH, RUSSIAN, SPANISH, TAGALOG, VIETNAMESE",NGA,(213) 639-0299,"2500 WILSHIRE BLVD. STE. 500
LOS ANGELES, California 90057
(34.06020546800005, -118.28086199299997)"
ST. JOHN'S CHILD & FAMILY DEVELOPMENT CENTER,90404,5,SA 5 West,OUTPATIENT,"CASE MANAGEMENT, COMMUNITY OUTREACH, MEDICATION SUPPORT, MENTAL HEALTH PROMOTION, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE",ADULT,"ENGLISH, SPANISH",NGA,(310) 829-8921,"1339 20TH ST.
SANTA MONICA, California 90404
(34.02948853100003, -118.48091665299995)"
FAMILY SERVICES OF SANTA MONICA-VISTA DEL MAR,90404,5,SA 5 West,OUTPATIENT,"CASE MANAGEMENT, COMMUNITY OUTREACH, MEDICATION SUPPORT, MENTAL HEALTH PROMOTION, MENTAL HEALTH SERVICES, SPECIALIZED FOSTER CARE",ADULT/CHILD/TAY,"ENGLISH, SPANISH",NGA,(310) 451-9747,"1533 EUCLID ST.
SANTA MONICA, California 90404
(34.021252581000056, -118.48420977399996)"
DMHC-WELLNESS/CRS PROGRAM,90014,4,SA 4 Metro,OUTPATIENT,"ASSESSMENT, BENEFITS ESTABLISHMENT, CASE MANAGEMENT, CO-OCCURRING DISORDERS TREATMENT, CRISIS INTERVENTION, EMERGENCY AND PERMANENT HOUSING ASSISTANCE GROUP THERAPY, MEDICATION EVALUATION AND SUPPORT, MONEY MANAGEMENT/REPRESENTATIVE PAYEE SERVICES",ADULT,"ARABIC, ARMENIAN, CANTONESE, ENGLISH, FARSI, IBO, KOREAN, MANDARIN, RUSSIAN, SPANISH, TAGALOG, VIETNAMESE",DMH,(213) 996-7300,"640-646 S. MAPLE AVENUE
LOS ANGELES, California 90014
(34.043284096000036, -118.24839361299996)"
ALMA FAMILY SERVICES,90022,7,SA 7 East,OUTPATIENT,"CASE MANAGEMENT, FCCS, FSP, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE",ADULT/CHILD/TAY,"ARABIC, ENGLISH, ITALIAN, JAPANESE, KOREAN, OTHER CHINESE, PORTUGUESE, SPANISH",NGA,(323) 881-3799,"4701 EAST CESAR CHAVEZ AVE.
LOS ANGELES, California 90022
(34.02358052100004, -118.15511747999994)"
DREW CHILD DEVELOPMENT CORPORATION,90059,6,SA 6 South,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, EBP-ART, EBP-CORS, EBP-IY, EBP-IPT, EBP-SS, EBP-TR_CBT, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",ADULT/CHILD/TAY,"ENGLISH, SPANISH",DMH,(323) 249-2950,"1770 EAST. 118TH ST.
LOS ANGELES, California 90059
(33.92592979400007, -118.24158633799999)"
CITY OF ANGELS HOSPITAL-INGLESIDE CAMPUS,91770,3,SA 3 San Gabriel Valley,INPATIENT,24 HR ACUTE,ADULT,ENGLISH,FFS,(626) 288-1160,"7500 EAST HELLMAN AVE.
ROSEMEAD, California 91770
(34.069823564000046, -118.10615878599998)"
LOS ANGELES CHILD GUIDANCE - FAMILIES IN TOUCH,90007,6,SA 6 South,OUTPATIENT,"CASE MANAGEMENT, COMMUNITY OUTREACH, COMMUNITY SUPPORT, DAY TREATMENT INTENSIVE, FIELD CAPABLE CLINICAL SERVICES, FULL SERVICE PARTNERSHIP, MEDICATION SUPPPORT, MENTAL HEALTH PROMOTION, MENTAL HEALTH SERVICES",ADULT/CHILD/TAY,"CANTONESE, ENGLISH, FARSI, FRENCH, JAPANESE, MANDARIN, SPANISH",NGA,(323) 373-2400,"3031 SOUTH VERMONT AVE.
LOS ANGELES, California 90007
(34.026781570000026, -118.29156853699999)"
SSG WEBER COMMUNITY CENTER,90003,6,SA 6 South,OUTPATIENT,"MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE",ADULT/CHILD/TAY,"ENGLISH, FRENCH, HEBREW, IIOCANO , IIONGOT, JAPANESE, KOREAN, PORTUGUESE, SPANISH, TAGALOG",NGA,(323) 234-4445,"5849 CROCKER ST. UNIT L
LOS ANGELES, California 90003
(33.988430986000026, -118.26857290799995)"
VIEW HEIGHTS CONVALESCENT HOSPITAL,90061,6,SA 6 South,INPATIENT,24 HR ACUTE,ADULT,"ENGLISH, SPANISH",NGA,(323) 757-1882,"12619 SOUTH AVALON BLVD.
LOS ANGELES, California 90061
(33.91825011000003, -118.265281991)"
SOUTH CENTRAL HEALTH & REHABILITATION PROGRAM,90044,6,SA 6 South,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, COMMUNITY OUTREACH, MEDICATION SUPPORT, MENTAL HEALTH PROMOTION, MENTAL HEALTH SERVICES",ADULT,"ENGLISH, SPANISH, TAGALOG",NGA,(323) 751-3026,"8836 SOUTH VERMONT AVE.
LOS ANGELES, California 90044
(33.957131555000046, -118.29146644299999)"
CHILDREN'S BUREAU OF S CALIFORNIA-SG VALLEY,91706,3,SA 3 San Gabriel Valley,OUTPATIENT,"CASE MANAGEMENT, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",CHILD/TAY,"ENGLISH, FRENCH, HINDI, SAMOAN, SPANISH, URDU",NGA,(626) 337-8811,"14600 EAST RAMONA BLVD.
BALDWIN PARK, California 91706
(34.087093964000076, -117.95753286799999)"
THE RIVER COMMUNITY,91702,3,SA 3 San Gabriel Valley,OUTPATIENT,"DAY REHABILITATION, DAY TREATMENT, LIFE SUPPORT, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",ADULT,"ENGLISH, SPANISH",NGA,(626) 910-1202,"23701 EAST FORK RD.
AZUSA, California 91702
(34.23392120600005, -117.80046585799994)"
BIENVENIDOS-MENTAL HEALTH (MH),91733,3,SA 3 San Gabriel Valley,OUTPATIENT,"CASE MANAGEMENT, COMMUNITY OUTREACH, CRISIS INTERVENTION, DYADIC THERAPY, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",CHILD/TAY,"ARMENIAN, CALO, ENGLISH, JAPANESE, KOREAN, MANDARIN, SPANISH, VIETNAMESE",NGA,(626) 919-3364,"9736 EAST GARVEY AVE. 2ND FL.
SOUTH EL MONTE, California 91733
(34.06269324400006, -118.05648967799999)"
STAR VIEW ADOLESCENT CENTER INC.,90015,4,SA 4 Metro,OUTPATIENT,"FULL SERVICE PARTNERSHIP, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE",CHILD/TAY,"AMERICAN SIGN, CANTONESE, ENGLISH, FRENCH, GERMAN, HINDI, JAPANESE, KOREAN, MANDARIN, MARATHI, OTHER CHINESE,  PORTUGUESE, SPANISH, TAGALOG, URDU, VISAYAN",NGA,(323) 999-2404,"1625 WEST OLYMPIC BLVD. STE. 600
LOS ANGELES, California 90015
(34.04943624200007, -118.27467884899994)"
AVIVA FAMILY AND CHILDREN'S SERVICES,90046,4,SA 4 Metro,OUTPATIENT,"DAY TREATMENT, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",CHILD/TAY,"AMERICAN SIGN, ARMENIAN, ENGLISH, GERMAN, RUSSIAN, SPANISH, TAGALOG, TURKISH",NGA,(323) 876-0550,"7120 FRANKLIN AVE.
LOS ANGELES, California 90046
(34.103864273000056, -118.34546928199995)"
THE SABAN FREE CLINIC,90048,4,SA 4 Metro,COMMUNITY OUTREACH,COMMUNITY OUTREACH,ADULT/CHILD/TAY,"ENGLISH, FRENCH",NGA,(323) 653-8622,"8405 BEVERLY BLVD.
LOS ANGELES, California 90048
(34.07607815000006, -118.37346972999995)"
CALIFORNIA BEHAVIORAL HEALTH,90015,4,SA 4 Metro,INPATIENT,"CASE MANAGEMENT, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",ADULT,"ENGLISH, SPANISH",NGA,(213) 742-6250,"1400 SOUTH GRAND # 600
LOS ANGELES, California 90015
(34.03702386200007, -118.26545368099994)"
FORENSIC OUTPT PRGM - TOWER I,90012,4,SA 4 Metro,FORENSIC,"JAIL LINKAGE SERVICES, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",ADULT,"ARMENIAN, ARABIC, BENGALI, CAMBODIAN, CANTONESE, ENGLISH, FARSI, FRENCH, GERMAN, HINDI, ITALIAN, JAPANESE, NORWEGIAN,  MANDARIN, OTHER CHINESE, PORTUGUESE, ROMANIAN, RUSSIAN",DMH,(213) 473-6183,"CO TWIN TOWERS 450 BAUCHET ST.
LOS ANGELES, California 90012
(34.059163805000026, -118.23123091099995)"
BIENVENIDOS-MENTAL HEALTH (MH),91107,3,SA 3 San Gabriel Valley,OUTPATIENT,"CASE MANAGEMENT, COMMUNITY LINKAGE, CRISIS INTERVENTION, DYADIC THERAPY, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, SPECIALIZED FOSTER CARE",CHILD/TAY,"ARMENIAN, CALO, CEBUANO, ENGLISH, FRENCH, GERMAN, JAPANESE, KOREAN, MANDARIN, SPANISH, TAGALOG",NGA,(626) 696-1276,"255 NORTH SAN GABRIEL BLVD.
PASADENA, California 91107
(34.15089811300004, -118.09429258799997)"
DAVID & MARGARET HOMES,91750,3,SA 3 San Gabriel Valley,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE, THERAPEUTIC BEHAVIORAL SERVICES",CHILD/TAY,"AMERICAN SIGN, ENGLISH, FARSI, FRENCH, GERMAN, KOREAN, SPANISH, SWAHILI, TAGALOG",NGA,(909) 596-5921,"1350 THIRD ST.
LA VERNE, California 91750
(34.104343623000034, -117.78501669199994)"
HATHAWAY SYCAMORES CHILD AND FAMILY SERVICES,91743,3,SA 3 San Gabriel Valley,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, FSP, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE",CHILD/TAY,"ENGLISH, SPANISH",NGA,(626) 395-7100,"1411 NORTH GRAND AVE. STE. 100
COVINA, California 91743
(34.10534176200008, -117.87271204099994)"
JUVENILE JUSTICE TRANSITIONAL AFTERCARE SERVICES,90020,4,SA 4 Metro,OUTPATIENT,"COMMUNITY OUTREACH, CASE MANAGEMENT, MENTAL HEALTH SERVICES",CHILD/TAY,"ENGLISH,SPANISH",DMH,213-738-4875,"550 SOUTH VERMONT, 4TH FLOOR SUITE 400
LOS ANGELES, California 90020
(34.06390083600007, -118.29160586899997)"
SPECIAL SERVICES FOR GROUPS (SSG),90057,4,SA 4 Metro,COMMUNITY OUTREACH,COMMUNITY OUTREACH,CHILD/TAY,"ENGLISH, FRENCH, HEBREW, MANDARIN",NGA,(213) 368-1888,"2120 WEST 8TH ST. STE. 210
LOS ANGELES, California 90057
(34.05522530600007, -118.27864039399998)"
WHITE MEMORIAL MEDICAL CENTER,90033,4,SA 4 Metro,INPATIENT,24 HR ACUTE,ADULT,"CZECH, ENGLISH, HEBREW, SPANISH",FFS,(323) 265-5035,"1720 CESAR E. CHAVEZ AVE
LOS ANGELES, California 90033
(34.05085470100005, -118.21691150499998)"
LAC + USC MEDICAL CENTER,90033,4,SA 4 Metro,INPATIENT,"24 HR ACUTE, CASE MANAGEMENT, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",ADULT,"ARABIC, AMERICAN SIGN, ARMENIAN, BENGALI, CANTONESE, ENGLISH, FARSI, FRENCH, GERMAN, GREEK, HEBREW, HINDI,  ITALIAN, KOREAN, MANDARIN, MARATHI, OTHER CHINESE, PORTUGUESE",DHS,(323) 409-5751,"1200 N. STATE STREET
LOS ANGELES, California 90033
(34.05982291000004, -118.21030777799996)"
SSG-CHINATOWN SERVICE CENTER,90012,4,SA 4 Metro,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",CHILD/TAY,"CANTONESE, ENGLISH, MANDARIN",NGA,(213) 808-1700,"767 NORTH HILL ST. STE. 400
LOS ANGELES, California 90012
(34.06252501100005, -118.23972783699998)"
EOB CRISIS HOMELESS DOWNTOWN,90005,4,SA 4 Metro,COMMUNITY OUTREACH,"COMMUNITY OUTREACH, EOB CRISIS HOMELESS, EOB OUTREACH HOMELESS MOBILE RESPONSE, MENTAL HEALTH PROMOTION",ADULT,"ARMENIAN, BENGALI, CANTONESE, FARSI, FRENCH, GERMAN, HEBREW, HINDI, JAPANESE, KOREAN, MANDARIN, RUSSIAN,  SPANISH,  TAGALOG,  THAI,  UKRAIN,  VIETNAMESE",DMH,(213) 351-2813,"695 SOUTH VERMONT AVE. 8TH FL.
LOS ANGELES, California 90005
(34.060109828000066, -118.29167270099998)"
IMCES INC.,90010,4,SA 4 Metro,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION,FULL SERVICE PARTNERSHIP, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE",ADULT/CHILD/TAY,"ARABIC, ARMENIAN, BURMESE, DUTCH, ENGLISH, FARSI, FRENCH, GERMAN, HEBREW, HINDI, ITALIAN, JAPANESE, KOREAN, RUSSIAN, SERBO-CROATIAN, SPANISH, URDU",NGA,(213) 381-1250,"3580 WILSHIRE BLVD. STE. 2000
LOS ANGELES, California 90010
(34.06170985500006, -118.30251560599999)"
VIP CMHC INC-LAC/USC CHILD PSYCHIATRY,90089,4,SA 4 Metro,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",CHILD/TAY,ENGLISH,NGA,(323) 226-2247,"2010 ZONAL AVE.
LOS ANGELES, California 90089
(34.05998752600004, -118.20600315499996)"
ASIAN PACIFIC COUNSELING & TREATMENT CENTER,90057,4,SA 4 Metro,OUTPATIENT,"DAY TREATMENT, FULL SERVICE PARTNERSHIP, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, RESIDENTIAL, SPECIALIZED FOSTER CARE",ADULT/CHILD/TAY,"AFGHAN, CALO, CAMBODIAN, CANTONESE,  ENGLISH, GERMAN, JAPANESE, KOREAN, MANDARIN, PASHTO, SPANISH, SWEDISH, TAGALOG, TAIWANESE, TURKISH, VEITNAMESE",NGA,(213) 252 -2100,"520 SOUTH LA FAYETTE PARK PLC. 3RD
LOS ANGELES, California 90057
(34.06382363300003, -118.28266300999996)"
AIDS PROJECT LOS ANGELES,90005,4,SA 4 Metro,COMMUNITY OUTREACH,"COMMUNITY OUTREACH, MENTAL HEALTH PROMOTION",ADULT,"CANTONESE, ENGLISH, FRENCH, KOREAN, SPANISH, UKRANIAN",NGA,(213) 201-1600,"611 SOUTH KINGSLEY DR.
LOS ANGELES, California 90005
(34.06305045200003, -118.30288209899999)"
PARA LOS NINOS,90021,4,SA 4 Metro,OUTPATIENT,"CASE MANAGEMENT, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE",CHILD/TAY,"ENGLISH, FRENCH, MANDARIN, SPANISH",NGA,(213) 623-8446,"649 E. 6TH ST.
LOS ANGELES, California 90021
(34.04150145400007, -118.24395938799995)"
HOLLYWOOD MHC WELLNESS CENTER,90027,4,SA 4 Metro,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, DAY TREATMENT, FULL SERVICE PARTNERSHIP, LIFE SUPPORT, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, WELLNESS CENTER",ADULT,"ARABIC, ARMENIAN, BULGARIAN, DANISH, ENGLISH, FARSI, FRENCH, HEBREW, KOREAN, RUSSIAN, SPANISH",DMH,(323) 671-2600,"5000 SUNSET BLVD.
LOS ANGELES, California 90027
(34.098113316000024, -118.29845708799996)"
CENTRAL JUVENILE HALL,90033,4,SA 4 Metro,JUVENILE JUSTICE,"MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",CHILD/TAY,"CANTONESE, ENGLISH, MANDARIN, SPANISH",DMH,(323) 226-8806,"1601 EASTLAKE AVE.
LOS ANGELES, California 90033
(34.063502146000076, -118.205854209)"
GATEWAYS HOSPITAL AND MHC,90026,4,SA 4 Metro,INPATIENT,"24 HR ACUTE, CASE MANAGEMENT, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE",ADULT/CHILD/TAY,"DUTCH, ENGLISH, FRENCH, FLEMISH, GERMAN, ITALIAN, JAPANESE, KOREAN, POLISH, SPANISH, TAGALOG",NGA,(323) 644-2000,"1891 EFFIE ST.
LOS ANGELES, California 90026
(34.08428124400007, -118.25617089899998)"
CHILDREN'S  HOSPITAL-LA QUEENSCARE HEALTH FAITH,90029,4,SA 4 Metro,INPATIENT,"CASE MANAGEMENT, MENTAL HEALTH SERVICES",CHILD/TAY,"ENGLISH, SPANISH",NGA,(323) 669-4355,"4618 FOUNTAIN AVE. STE. 102
LOS ANGELES, California 90029
(34.095582824000076, -118.29033835899997)"
EISNER PEDIATRIC FAMILY MEDICAL CENTER,90015,4,SA 4 Metro,OUTPATIENT,"CASE MANAGEMENT, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE",CHILD/TAY,"ENGLISH, FRENCH, HEBREW, PORTUGUESE, SPANISH",NGA,(213) 746-1037,"1500 SOUTH OLIVE ST.
LOS ANGELES, California 90015
(34.03567108300007, -118.26497663599997)"
